Event,ParticleID,px,py,pz,E,vx,vy,vz
85,211,-3.9368480560527434e-02,1.2591265988242128e-02,4.9978807306556607e+00,5.0000000000000000e+00,0,0,0
86,211,-4.2751304527956814e-02,-6.2251567821375954e-02,4.9974810938476733e+00,5.0000000000000000e+00,0,0,0
87,211,-3.1943801992907485e-03,4.3212212565302478e-02,4.9978638152435035e+00,5.0000000000000000e+00,0,0,0
88,211,-4.2791401179272333e-02,-4.1937129164232138e-02,4.9976925063755751e+00,5.0000000000000000e+00,0,0,0
89,211,3.4672300958131133e-02,-3.5255910007579286e-02,4.9978070258320102e+00,5.0000000000000000e+00,0,0,0
90,211,-6.8609408098797023e-02,2.6659752709411685e-03,4.9975800000396378e+00,5.0000000000000000e+00,0,0,0
91,211,-1.8662660181977930e-02,-2.5420935577676152e-02,4.9979521502560713e+00,5.0000000000000000e+00,0,0,0
92,211,-1.5352959066777114e-02,-2.6393861218292219e-02,4.9979583697583836e+00,5.0000000000000000e+00,0,0,0
93,211,5.8992580768470314e-03,5.4946400931795591e-02,4.9977461226915860e+00,5.0000000000000000e+00,0,0,0
94,211,-2.0445403309201148e-02,-3.6736281811065655e-02,4.9978748129762334e+00,5.0000000000000000e+00,0,0,0
95,211,8.0663013572160561e-02,4.3265584571190098e-02,4.9972134017403302e+00,5.0000000000000000e+00,0,0,0
96,211,-1.7301457779022329e-02,-8.4303594355531461e-02,4.9973106546058803e+00,5.0000000000000000e+00,0,0,0
97,211,-2.9300683414033853e-02,-3.2654344464100375e-04,4.9979657440223466e+00,5.0000000000000000e+00,0,0,0
98,211,2.4678181725873771e-02,3.1012678516643289e-02,4.9978944983080549e+00,5.0000000000000000e+00,0,0,0
99,211,3.1702069271946971e-02,2.5378527426165677e-02,4.9978866658068144e+00,5.0000000000000000e+00,0,0,0
100,211,8.8256623947610371e-02,1.7023369352828131e-02,4.9972433589255232e+00,5.0000000000000000e+00,0,0,0
101,211,2.5267046968103384e-02,5.4947126394985835e-02,4.9976857248869146e+00,5.0000000000000000e+00,0,0,0
102,211,8.5407575912264250e-03,3.5778026505560577e-02,4.9979162861515727e+00,5.0000000000000000e+00,0,0,0
103,211,-3.2966926916595120e-02,3.8450426695798172e-02,4.9977950099535482e+00,5.0000000000000000e+00,0,0,0
104,211,4.3347769830605891e-02,2.8209380820081811e-02,4.9977840506352864e+00,5.0000000000000000e+00,0,0,0
105,211,4.8821095233109291e-02,-2.0296520132733992e-02,4.9977719802958935e+00,5.0000000000000000e+00,0,0,0
106,211,-8.9840241802134832e-02,1.3329602175000595e-02,4.9972263574665883e+00,5.0000000000000000e+00,0,0,0
107,211,3.7293917061379613e-02,-6.0589695107161598e-02,4.9975452241772693e+00,5.0000000000000000e+00,0,0,0
108,211,-5.3408607506340765e-02,-4.4927095701903806e-02,4.9975643359356585e+00,5.0000000000000000e+00,0,0,0
109,211,-2.0145787609546707e-03,5.0792473168647850e-02,4.9977931411015630e+00,5.0000000000000000e+00,0,0,0
110,211,-2.8182056835630163e-02,-6.9952815455762846e-02,4.9974826253207043e+00,5.0000000000000000e+00,0,0,0
111,211,6.9425571977733108e-02,1.8488801211162614e-02,4.9975352394240637e+00,5.0000000000000000e+00,0,0,0
112,211,-1.4622578984247864e-02,6.9258338856795790e-02,4.9975503677084276e+00,5.0000000000000000e+00,0,0,0
113,211,2.4415825164648193e-02,3.6830181144596928e-02,4.9978563024899367e+00,5.0000000000000000e+00,0,0,0
114,211,1.7834444015588351e-02,2.8411147477067560e-02,4.9979390706976092e+00,5.0000000000000000e+00,0,0,0
115,211,1.4433245243375621e-02,-8.2417790533202390e-02,4.9973512188293681e+00,5.0000000000000000e+00,0,0,0
116,211,-6.2197496861585424e-03,-7.4179055453495318e-02,4.9974972733905387e+00,5.0000000000000000e+00,0,0,0
117,211,-9.7721046288426872e-02,1.0591590799371078e-02,4.9970850133269327e+00,5.0000000000000000e+00,0,0,0
118,211,2.9470005465069754e-02,-3.5750377069726273e-02,4.9978368965400684e+00,5.0000000000000000e+00,0,0,0
119,211,3.4994125035614228e-02,-5.7662493473758680e-02,4.9975964886292470e+00,5.0000000000000000e+00,0,0,0
120,211,-6.9899200704327022e-02,-3.7400891862700611e-02,4.9974228848606330e+00,5.0000000000000000e+00,0,0,0
121,211,3.6915766356347281e-02,-8.8144326687798910e-02,4.9971379827824522e+00,5.0000000000000000e+00,0,0,0
122,211,4.9767944850110178e-02,-5.3152533585742928e-02,4.9975212030504492e+00,5.0000000000000000e+00,0,0,0
123,211,-2.8116018695521074e-02,2.6071608591391539e-02,4.9979045584943060e+00,5.0000000000000000e+00,0,0,0
124,211,7.1487748506996185e-02,-3.3515172256287494e-02,4.9974279834873085e+00,5.0000000000000000e+00,0,0,0
125,211,-7.7633535621152674e-02,-8.4578463280990668e-03,4.9974415168246287e+00,5.0000000000000000e+00,0,0,0
126,211,-2.2665091660034577e-02,2.6341049843505118e-02,4.9979308376380303e+00,5.0000000000000000e+00,0,0,0
127,211,-1.3307541697280739e-02,3.8479066554442526e-02,4.9978858016036209e+00,5.0000000000000000e+00,0,0,0
128,211,-2.1568617829391769e-02,2.1365424341890191e-02,4.9979594364568047e+00,5.0000000000000000e+00,0,0,0
129,211,4.3159603249596022e-02,-2.9944545190137219e-03,4.9978643936174851e+00,5.0000000000000000e+00,0,0,0
130,211,-4.5663210577800116e-03,-9.4191843794084573e-02,4.9971619205679803e+00,5.0000000000000000e+00,0,0,0
131,211,-2.1310380568259683e-02,3.2712269817977618e-02,4.9978991576644871e+00,5.0000000000000000e+00,0,0,0
132,211,-1.5251131531535711e-02,-6.3769705934295637e-02,4.9976215385613241e+00,5.0000000000000000e+00,0,0,0
133,211,-3.1394246950462640e-02,-1.9551606921161830e-02,4.9979148002967406e+00,5.0000000000000000e+00,0,0,0
134,211,7.3082143637847971e-02,5.9576587663671070e-02,4.9971621792356959e+00,5.0000000000000000e+00,0,0,0
135,211,4.0057331195948618e-03,4.4027705566646431e-02,4.9978561134095001e+00,5.0000000000000000e+00,0,0,0
136,211,-3.9288383443979336e-02,2.0031387359804542e-02,4.9978570789436141e+00,5.0000000000000000e+00,0,0,0
137,211,-2.2397228606446017e-02,4.3187750100050444e-02,4.9978148622665133e+00,5.0000000000000000e+00,0,0,0
138,211,-1.4722851219790785e-02,-6.3768203249722058e-02,4.9976231419552093e+00,5.0000000000000000e+00,0,0,0
139,211,-1.2090368115606709e-02,-3.1341309229952791e-02,4.9979387511687836e+00,5.0000000000000000e+00,0,0,0
140,211,-7.1869781187940502e-03,4.1394220766648733e-02,4.9978750565547996e+00,5.0000000000000000e+00,0,0,0
141,211,1.7948706957038502e-02,-4.1501199601864693e-02,4.9978471074503839e+00,5.0000000000000000e+00,0,0,0
142,211,-4.3663622218842887e-02,-1.3474131339619118e-02,4.9978427497250619e+00,5.0000000000000000e+00,0,0,0
143,211,-5.4610821031182380e-02,1.5182047818967627e-02,4.9977302226861262e+00,5.0000000000000000e+00,0,0,0
144,211,7.1468641931887220e-02,-2.8963947789870652e-02,4.9974567069709401e+00,5.0000000000000000e+00,0,0,0
145,211,-8.1875345779082440e-02,-1.5218649914844255e-02,4.9973578054356205e+00,5.0000000000000000e+00,0,0,0
146,211,-4.7264130055847337e-03,-2.8537230958769328e-02,4.9979679373290606e+00,5.0000000000000000e+00,0,0,0
147,211,-1.0926141823136349e-02,8.3965041006797317e-02,4.9973343600777387e+00,5.0000000000000000e+00,0,0,0
148,211,8.4180258939265340e-02,2.2372406213332911e-02,4.9972926044554509e+00,5.0000000000000000e+00,0,0,0
149,211,3.1094019907148971e-02,-2.4218680891559236e-02,4.9978962406718574e+00,5.0000000000000000e+00,0,0,0
150,211,3.9940953709333100e-02,-9.1545661272377621e-02,4.9970535645737266e+00,5.0000000000000000e+00,0,0,0
151,211,6.7494974584025813e-02,-1.0227127983248471e-02,4.9975854219171794e+00,5.0000000000000000e+00,0,0,0
152,211,-4.7170379537805021e-02,-2.6698300874299540e-02,4.9977577343369379e+00,5.0000000000000000e+00,0,0,0
153,211,1.9048456903597113e-03,5.7094717725498220e-02,4.9977251604975974e+00,5.0000000000000000e+00,0,0,0
154,211,1.4930713073093446e-02,-4.8645221739741430e-02,4.9977926058720179e+00,5.0000000000000000e+00,0,0,0
155,211,-4.5785292515706212e-02,-2.4474774209748234e-02,4.9977819987987298e+00,5.0000000000000000e+00,0,0,0
156,211,5.5187956724375299e-02,2.6320945236928791e-02,4.9976776318980818e+00,5.0000000000000000e+00,0,0,0
157,211,4.2375975999132030e-02,8.0777213056744554e-02,4.9972191800649393e+00,5.0000000000000000e+00,0,0,0
158,211,1.2414223997344019e-03,-5.8809197925404295e-02,4.9977054887427883e+00,5.0000000000000000e+00,0,0,0
159,211,-8.3163675726563635e-02,-1.2899985471261741e-02,4.9973430549157305e+00,5.0000000000000000e+00,0,0,0
160,211,-5.0682607616860269e-02,8.5749667562778589e-02,4.9970589833318986e+00,5.0000000000000000e+00,0,0,0
161,211,-3.2627956284199393e-02,7.5992215887415851e-02,4.9973673884049417e+00,5.0000000000000000e+00,0,0,0
162,211,5.1342111565806113e-02,7.8293110601580210e-04,4.9977878696178015e+00,5.0000000000000000e+00,0,0,0
