Event,ParticleID,px,py,pz,E,vx,vy,vz
168,2212,8.0642042849570130e-03,6.9119900150284755e-02,4.9106825454338283e+00,5.0000000000000000e+00,0,0,0
169,2212,-6.3427938554985519e-02,4.2830840945523536e-02,4.9105791990039798e+00,5.0000000000000000e+00,0,0,0
170,2212,-1.8864612156327443e-02,9.3073849887213039e-02,4.9102573291927749e+00,5.0000000000000000e+00,0,0,0
171,2212,-1.9181172255454002e-02,1.9973306818492784e-02,4.9110975151855456e+00,5.0000000000000000e+00,0,0,0
172,2212,5.5180136186632596e-02,5.0161270748898472e-02,4.9106093973664082e+00,5.0000000000000000e+00,0,0,0
173,2212,4.9409583104354095e-02,-1.1039869401051970e-02,4.9109146264618628e+00,5.0000000000000000e+00,0,0,0
174,2212,9.4603786162784712e-03,-7.4155363357940665e-02,4.9106065956598162e+00,5.0000000000000000e+00,0,0,0
175,2212,3.3328950696595951e-02,1.8373674980609055e-02,4.9110281248562568e+00,5.0000000000000000e+00,0,0,0
176,2212,5.9580144248757627e-02,-1.0459632609353255e-02,4.9108030358092121e+00,5.0000000000000000e+00,0,0,0
177,2212,8.2682474435719980e-02,6.5710078356695564e-03,4.9104751383438661e+00,5.0000000000000000e+00,0,0,0
178,2212,3.5049420921951333e-02,5.5511115833395637e-02,4.9107367785422964e+00,5.0000000000000000e+00,0,0,0
179,2212,2.8178410649887832e-02,3.9358190978985175e-03,4.9110931716388029e+00,5.0000000000000000e+00,0,0,0
180,2212,-5.6560774799539658e-02,-3.8703469514282177e-02,4.9106973612937734e+00,5.0000000000000000e+00,0,0,0
181,2212,-6.2178558709863265e-04,9.6458338646525241e-02,4.9102282081695794e+00,5.0000000000000000e+00,0,0,0
182,2212,-8.3271761663548438e-02,9.6206032761680035e-03,4.9104601527471994e+00,5.0000000000000000e+00,0,0,0
183,2212,6.0258039404627517e-03,4.0729027509187568e-02,4.9110030024447173e+00,5.0000000000000000e+00,0,0,0
184,2212,-5.2448613271255391e-02,3.1782533796897106e-02,4.9107926720161350e+00,5.0000000000000000e+00,0,0,0
185,2212,3.6300419100834966e-02,-5.8374176849918462e-02,4.9106944915221709e+00,5.0000000000000000e+00,0,0,0
186,2212,-3.4082673326798291e-02,6.5107001939182535e-02,4.9106257344348068e+00,5.0000000000000000e+00,0,0,0
187,2212,9.3370466991926013e-02,2.9971728763773346e-02,4.9101964630129231e+00,5.0000000000000000e+00,0,0,0
188,2212,6.8495839305825566e-03,8.7814040918918410e-02,4.9103856703352200e+00,5.0000000000000000e+00,0,0,0
189,2212,7.9148882761898909e-02,1.9591371266767105e-02,4.9104986800268486e+00,5.0000000000000000e+00,0,0,0
190,2212,-2.2600045991024085e-02,8.2836227077775437e-02,4.9104249359317897e+00,5.0000000000000000e+00,0,0,0
191,2212,-3.4831240330257418e-02,3.4434820264856968e-02,4.9109313456681907e+00,5.0000000000000000e+00,0,0,0
192,2212,7.3821610012181585e-02,-3.5503213109667787e-02,4.9104923934133220e+00,5.0000000000000000e+00,0,0,0
193,2212,-7.8566366529103010e-02,-2.3949000065118270e-02,4.9104887155416916e+00,5.0000000000000000e+00,0,0,0
194,2212,3.5795257108907491e-02,2.2928650289414137e-02,4.9109916137762255e+00,5.0000000000000000e+00,0,0,0
195,2212,7.4774688600944411e-02,4.1286800421266687e-02,4.9104327507941301e+00,5.0000000000000000e+00,0,0,0
196,2212,-5.0562874451570483e-02,5.5113579656300732e-02,4.9106060260502131e+00,5.0000000000000000e+00,0,0,0
197,2212,4.3243593020208165e-02,7.8131870807978780e-03,4.9109789858831956e+00,5.0000000000000000e+00,0,0,0
198,2212,-6.3978950397677981e-02,5.6318466486805236e-03,4.9107556068516924e+00,5.0000000000000000e+00,0,0,0
199,2212,9.6013770129655465e-02,1.3289534476016657e-02,4.9102189766073465e+00,5.0000000000000000e+00,0,0,0
200,2212,-5.0018876853968983e-02,-6.8327663602635993e-02,4.9104455089493531e+00,5.0000000000000000e+00,0,0,0
201,2212,3.0465097801474220e-02,-2.4462281474270011e-02,4.9110201718804838e+00,5.0000000000000000e+00,0,0,0
202,2212,-7.1753472936175317e-03,-3.1913392728696206e-02,4.9110666564170922e+00,5.0000000000000000e+00,0,0,0
203,2212,-4.5149983339340789e-02,5.4815805268096846e-02,4.9106621101958607e+00,5.0000000000000000e+00,0,0,0
204,2212,2.5605839290272287e-02,-2.1040212634575114e-02,4.9110637650576816e+00,5.0000000000000000e+00,0,0,0
205,2212,3.0424276157400735e-02,-4.6981642405497209e-02,4.9108566200524706e+00,5.0000000000000000e+00,0,0,0
206,2212,-7.5391812745016704e-02,-2.1127661398986735e-02,4.9105514303905649e+00,5.0000000000000000e+00,0,0,0
