Event,ParticleID,px,py,pz,E,vx,vy,vz
47,22,3.2340442615574609e-02,-5.5984383837490777e-02,9.9997909900426301e+00,1.0000000000000000e+01,0,0,0
48,22,1.6930980926622402e-01,-8.0699278380934450e-02,9.9982409360324489e+00,1.0000000000000000e+01,0,0,0
49,22,1.3784950154000317e-03,-1.3048219176264550e-01,9.9991485886241485e+00,1.0000000000000000e+01,0,0,0
50,22,6.4107413010162040e-02,-5.1630869405164453e-02,9.9996612189074501e+00,1.0000000000000000e+01,0,0,0
51,22,-1.7213734531375324e-01,-2.0871414753638993e-02,9.9984965429005630e+00,1.0000000000000000e+01,0,0,0
52,22,2.8984685356440113e-02,1.2879745721350425e-01,9.9991285171773896e+00,1.0000000000000000e+01,0,0,0
53,22,6.3258588543814845e-02,-1.1950228944204878e-01,9.9990858359048786e+00,1.0000000000000000e+01,0,0,0
54,22,-3.8697245039060281e-02,-1.4155491700806133e-01,9.9989231784576287e+00,1.0000000000000000e+01,0,0,0
55,22,-1.6847489581679684e-01,-5.1817858443276646e-02,9.9984464352731255e+00,1.0000000000000000e+01,0,0,0
56,22,-3.7133079151902858e-02,-5.6732301097030598e-02,9.9997701263801524e+00,1.0000000000000000e+01,0,0,0
57,22,4.0339665484645661e-02,-5.5580816411789184e-02,9.9997641714310230e+00,1.0000000000000000e+01,0,0,0
58,22,-4.7028333751814193e-02,-2.9124864214382196e-02,9.9998470027350432e+00,1.0000000000000000e+01,0,0,0
59,22,9.7441392779596084e-02,-5.5441859200215778e-02,9.9993715490135475e+00,1.0000000000000000e+01,0,0,0
60,22,-3.1735271580142714e-02,4.5041007958859486e-02,9.9998482078549458e+00,1.0000000000000000e+01,0,0,0
61,22,5.7104499692301233e-02,2.9477540331743941e-02,9.9997935054045435e+00,1.0000000000000000e+01,0,0,0
62,22,-4.5616964582376344e-02,-1.1107879301366896e-01,9.9992790037224637e+00,1.0000000000000000e+01,0,0,0
63,22,1.1525846720272669e-01,4.6704795280475928e-02,9.9992266774904088e+00,1.0000000000000000e+01,0,0,0
64,22,-3.7025565372350066e-03,-1.7080246801847518e-01,9.9985405338976303e+00,1.0000000000000000e+01,0,0,0
65,22,9.5673393544871962e-02,-9.2031251801576272e-02,9.9991188036976268e+00,1.0000000000000000e+01,0,0,0
66,22,6.6744021656697974e-02,2.5785655091857210e-03,9.9997769268405694e+00,1.0000000000000000e+01,0,0,0
