Event,ParticleID,px,py,pz,E,vx,vy,vz
138,2112,-1.4466210666877335e-02,-6.2656631401579843e-02,4.9105073552602834e+00,5.0000000000000000e+00,0,0,0
139,2112,-1.1879615543853120e-02,-3.0794984960982784e-02,4.9108174629496038e+00,5.0000000000000000e+00,0,0,0
140,2112,-7.0616987139662159e-03,4.0672659735678476e-02,4.9107548786246999e+00,5.0000000000000000e+00,0,0,0
141,2112,1.7635835081287708e-02,-4.0777773775345659e-02,4.9107274167135273e+00,5.0000000000000000e+00,0,0,0
142,2112,-4.2902502244106980e-02,-1.3239257777059447e-02,4.9107231349496487e+00,5.0000000000000000e+00,0,0,0
143,2112,-5.3658875576102313e-02,1.4917402806364314e-02,4.9106125694194622e+00,5.0000000000000000e+00,0,0,0
144,2112,7.0222840319987656e-02,-2.8459064363122670e-02,4.9103438214780812e+00,5.0000000000000000e+00,0,0,0
145,2112,-8.0448140294422113e-02,-1.4953366874865445e-02,4.9102466439393115e+00,5.0000000000000000e+00,0,0,0
146,2112,-4.6440248031270432e-03,-2.8039785822460916e-02,4.9108461403529695e+00,5.0000000000000000e+00,0,0,0
147,2112,-1.0735683396515077e-02,8.2501409117315322e-02,4.9102236072678673e+00,5.0000000000000000e+00,0,0,0
148,2112,8.2712875490498994e-02,2.1982422872818271e-02,4.9101825795063601e+00,5.0000000000000000e+00,0,0,0
149,2112,3.0552006248099998e-02,-2.3796514317839530e-02,4.9107756934720133e+00,5.0000000000000000e+00,0,0,0
150,2112,3.9244725221329727e-02,-8.9949888227127489e-02,4.9099477064348891e+00,5.0000000000000000e+00,0,0,0
151,2112,6.6318439730991455e-02,-1.0048854377059387e-02,4.9104702927369752e+00,5.0000000000000000e+00,0,0,0
152,2112,-4.6348131720110146e-02,-2.6232910944323253e-02,4.9106396015024805e+00,5.0000000000000000e+00,0,0,0
153,2112,1.8716414798511127e-03,5.6099474364904291e-02,4.9106075954721886e+00,5.0000000000000000e+00,0,0,0
154,2112,1.4670449187975877e-02,-4.7797265293159759e-02,4.9106738651763582e+00,5.0000000000000000e+00,0,0,0
155,2112,-4.4987188764529291e-02,-2.4048143559757134e-02,4.9106634429996721e+00,5.0000000000000000e+00,0,0,0
156,2112,5.4225950960921802e-02,2.5862133160519996e-02,4.9105608953647817e+00,5.0000000000000000e+00,0,0,0
157,2112,4.1637301557048069e-02,7.9369149610866399e-02,4.9101104350089813e+00,5.0000000000000000e+00,0,0,0
158,2112,1.2197826150004026e-03,-5.7784068699641020e-02,4.9105882666244671e+00,5.0000000000000000e+00,0,0,0
